COD_TOURNEY_ID,DES_TOURNEY_NAME,DES_TOURNEY_LEVEL,NUM_TOURNEY_DRAW_SIZE,DES_TOURNEY_SURFACE,FLAG_TOURNEY_IS_INDOOR,REF_YEAR,DATE_INGESTION
1969-2058,New York,A,32.0,Carpet,True,1969,2026-08-22
1969-2066,Macon,A,64.0,Carpet,True,1969,2026-08-22
1969-243,Perth,A,32.0,Grass,False,1968,2026-08-22
1969-260,Durban,A,64.0,Hard,False,1969,2026-08-22
1969-301,Auckland,A,32.0,Grass,False,1969,2026-08-22
1969-303,Buenos Aires,A,32.0,Clay,False,1969,2026-08-22
1969-308,Munich,A,64.0,Clay,False,1969,2026-08-22
1969-311,London / Queen's Club,A,128.0,Grass,False,1969,2026-08-22
1969-314,Gstaad,A,32.0,Clay,False,1969,2026-08-22
1969-317,Hilversum,A,32.0,Hard,False,1969,2026-08-22
1969-319,Kitzbuhel,A,64.0,Clay,False,1969,2026-08-22
1969-332,Cologne,A,8.0,Hard,False,1969,2026-08-22
1969-338,Sydney,A,32.0,Grass,False,1969,2026-08-22
1969-342,Aix-en-Provence,A,64.0,Clay,False,1969,2026-08-22
1969-355,Salisbury,A,64.0,Hard,False,1969,2026-08-22
1969-388,Dallas,A,32.0,Carpet,True,1969,2026-08-22
1969-389,Denver,A,6.0,Hard,False,1969,2026-08-22
1969-3936,Melbourne,A,8.0,Grass,False,1969,2026-08-22
1969-3938,Bournemouth,A,8.0,Clay,False,1969,2026-08-22
1969-3939,Caracas,A,8.0,Clay,False,1969,2026-08-22
1969-3940,Barranquilla,A,8.0,Clay,False,1969,2026-08-22
1969-3942,Bristol,A,8.0,Grass,False,1969,2026-08-22
1969-3943,Boston,A,8.0,Carpet,True,1969,2026-08-22
1969-3944,Bastad,A,8.0,Clay,False,1969,2026-08-22
1969-401,Philadelphia WCT,A,32.0,Carpet,True,1969,2026-08-22
1969-405,Houston,A,32.0,Clay,False,1969,2026-08-22
1969-406,Brussels,A,32.0,Clay,False,1969,2026-08-22
1969-410,Monte Carlo,A,64.0,Clay,False,1969,2026-08-22
1969-412,Atlanta,A,8.0,Hard,False,1969,2026-08-22
1969-413,Las Vegas,A,32.0,Hard,False,1969,2026-08-22
1969-414,Hamburg,A,64.0,Clay,False,1969,2026-08-22
1969-416,Rome,M,128.0,Clay,False,1969,2026-08-22
1969-417,Boston,A,128.0,Grass,False,1969,2026-08-22
1969-418,Washington,A,64.0,Clay,False,1969,2026-08-22
1969-421,Toronto,M,64.0,Clay,False,1969,2026-08-22
1969-422,Cincinnati,M,96.0,Clay,False,1969,2026-08-22
1969-423,Los Angeles,A,64.0,Hard,False,1969,2026-08-22
1969-424,Berkeley,A,64.0,Hard,False,1969,2026-08-22
1969-425,Barcelona,A,64.0,Clay,False,1969,2026-08-22
1969-426,Johannesburg,A,128.0,Hard,False,1969,2026-08-22
1969-429,Stockholm Open,A,32.0,Hard,False,1969,2026-08-22
1969-430,Wembley,A,32.0,Carpet,True,1969,2026-08-22
1969-436,Charlotte,A,32.0,Clay,False,1969,2026-08-22
1969-520,Roland Garros,G,128.0,Clay,False,1969,2026-08-22
1969-540,Wimbledon,G,128.0,Grass,False,1969,2026-08-22
1969-560,US Open,G,128.0,Grass,False,1969,2026-08-22
1969-580,Australian Open,G,64.0,Grass,False,1969,2026-08-22
1969-652,St. Louis,A,4.0,Hard,False,1969,2026-08-22
1969-653,Fort Worth,A,16.0,Hard,False,1969,2026-08-22
1969-654,Sacramento,A,16.0,Hard,False,1969,2026-08-22
1969-681,Hollywood,A,16.0,Clay,False,1969,2026-08-22
1969-6811,Los Angeles 1,A,16.0,Carpet,True,1969,2026-08-22
1969-6817,San Juan,A,64.0,Hard,False,1969,2026-08-22
1969-6818,St. Petersburg,A,64.0,Clay,False,1969,2026-08-22
1969-6832,Midland,A,4.0,Hard,False,1969,2026-08-22
1969-6833,Tucson,A,8.0,Hard,False,1969,2026-08-22
1969-707,South Orange,A,64.0,Grass,False,1969,2026-08-22
1969-713,Hobart,A,32.0,Grass,False,1968,2026-08-22
1969-717,Indianapolis,A,64.0,Clay,False,1969,2026-08-22
1969-7302,Paris,A,32.0,Carpet,True,1969,2026-08-22
1969-7310,Beckenham,A,64.0,Grass,False,1969,2026-08-22
1969-802,Richmond,A,8.0,Carpet,True,1969,2026-08-22
1969-818,Chicago,A,16.0,Carpet,True,1969,2026-08-22
1969-9240,Berlin,A,64.0,Clay,False,1969,2026-08-22
1969-9277,Curacao,A,16.0,Hard,False,1969,2026-08-22
1969-9278,New Orleans,A,8.0,Carpet,True,1969,2026-08-22
1969-9280,Oakland,A,16.0,Carpet,True,1969,2026-08-22
1969-9281,Japanese Championships,A,10.0,Carpet,True,1969,2026-08-22
1969-9282,New York 2,A,8.0,Carpet,True,1969,2026-08-22
1969-9283,Amsterdam,A,8.0,Clay,False,1969,2026-08-22
1969-9284,London 2,A,4.0,Hard,False,1969,2026-08-22
1969-9285,Milwaukee,A,8.0,Clay,False,1969,2026-08-22
1969-9286,Portschach,A,8.0,Clay,False,1969,2026-08-22
1969-9287,Binghamton,A,4.0,Hard,False,1969,2026-08-22
1969-9288,Southampton,A,64.0,Grass,False,1969,2026-08-22
1969-9291,Newport,A,8.0,Grass,False,1969,2026-08-22
1969-9292,Anaheim,A,8.0,Carpet,True,1969,2026-08-22
1969-9293,Baltimore,A,6.0,Grass,False,1969,2026-08-22
1969-9294,Barcelona 2,A,4.0,Clay,False,1969,2026-08-22
1969-9330,Vienna,A,8.0,Hard,False,1969,2026-08-22
1969-9341,Brisbane,A,64.0,Grass,False,1969,2026-08-22
1969-9830,Pittsburgh,A,8.0,Clay,False,1969,2026-08-22
1969-9831,Buffalo,A,8.0,Hard,False,1969,2026-08-22
1970-2016,London 3,A,8.0,Carpet,True,1970,2026-08-22
1970-2029,Dublin,A,32.0,Grass,False,1970,2026-08-22
1970-2030,Merion,A,64.0,Grass,False,1970,2026-08-22
1970-2036,Omaha,A,16.0,Hard,False,1970,2026-08-22
1970-2047,Jacksonville,A,32.0,Clay,False,1970,2026-08-22
1970-2048,Vancouver,A,16.0,Carpet,True,1970,2026-08-22
1970-2049,Eastbourne,A,32.0,Grass,False,1970,2026-08-22
1970-2050,Newport,A,64.0,Grass,False,1970,2026-08-22
1970-2058,New York,A,8.0,Carpet,True,1970,2026-08-22
1970-2063,Casablanca WCT,A,16.0,,False,1970,2026-08-22
1970-2066,Macon,A,32.0,Carpet,True,1970,2026-08-22
1970-2067,Phoenix,A,32.0,Hard,False,1970,2026-08-22
1970-260,Durban,A,64.0,Hard,False,1970,2026-08-22
1970-301,Auckland,A,32.0,Grass,False,1970,2026-08-22
1970-303,Buenos Aires,A,32.0,Clay,False,1970,2026-08-22
1970-308,Munich,A,32.0,Clay,False,1970,2026-08-22
1970-311,London / Queen's Club,A,64.0,Grass,False,1970,2026-08-22
1970-313,Bristol,A,32.0,Grass,False,1970,2026-08-22
1970-314,Gstaad,A,32.0,Clay,False,1970,2026-08-22
1970-316,Bastad,A,32.0,Clay,False,1970,2026-08-22
1970-317,Hilversum,A,64.0,Hard,False,1970,2026-08-22
1970-319,Kitzbuehel,A,64.0,Clay,False,1970,2026-08-22
1970-343,Columbus,A,8.0,Hard,False,1970,2026-08-22
1970-344,Caracas,A,32.0,Hard,False,1970,2026-08-22
1970-347,Bournemouth,A,32.0,Clay,False,1970,2026-08-22
1970-350,Nottingham,A,64.0,Grass,False,1970,2026-08-22
1970-352,Paris Indoor,A,32.0,Carpet,True,1970,2026-08-22
1970-355,Salisbury,A,64.0,Hard,False,1970,2026-08-22
1970-388,Dallas,A,32.0,Carpet,True,1970,2026-08-22
1970-389,Denver,A,8.0,Hard,False,1970,2026-08-22
1970-3936,Melbourne,A,64.0,Grass,False,1970,2026-08-22
1970-3940,Barranquilla,A,64.0,Clay,False,1970,2026-08-22
1970-3941,Sydney,A,32.0,Grass,False,1970,2026-08-22
1970-401,Philadelphia WCT,A,64.0,Carpet,True,1970,2026-08-22
1970-405,Houston,A,32.0,Clay,False,1970,2026-08-22
1970-406,Brussels,A,32.0,Clay,False,1970,2026-08-22
1970-410,Monte Carlo,A,64.0,Clay,False,1970,2026-08-22
1970-412,Atlanta,A,16.0,Hard,False,1970,2026-08-22
1970-413,Las Vegas,A,16.0,Hard,False,1970,2026-08-22
1970-414,Hamburg,A,64.0,Clay,False,1970,2026-08-22
1970-416,Rome,M,32.0,Clay,False,1970,2026-08-22
1970-417,Boston,A,32.0,Hard,False,1970,2026-08-22
1970-418,Washington,A,64.0,Hard,False,1970,2026-08-22
