rank,player,age,official_points,lost_earned_points,tourn_played,dropping,next_best
1864T,Yoshka Sborowsky,19,2,-,7,-,-
1864T,Nicola Senn,22,2,-,7,-,-
1864T,Ruslan Serazhetdinov,21,2,-,7,-,-
1864T,Marvin Bernardo Spiering,28,2,-,7,-,-
1864T,Maties Torres Ramis,24,2,-,7,-,-
1878T,Gregorio Biondolillo,26,2,-,8,-,-
1878T,Arthur Bonnaud,29,2,-1,8,-,-
1878T,Samuel De Felipe Garcia,27,2,-,8,-,-
1878T,Thomas Gerbaud,22,2,-,8,-,-
1878T,Gian Gruenig,26,2,-,8,-,-
1878T,Jonas Gundacker,23,2,-1,8,-,-
1878T,Jan Klimas,19,2,-1,8,-,-
1878T,Justin Lenders,19,2,-,8,-,-
1878T,Stevan Popovic,24,2,-1,8,-,-
1878T,Alan Raul Sau Franco,25,2,-,8,-,-
1878T,Denis Vishenchuk Vishenko,19,2,-,8,-,-
1878T,Ha Minh Duc Vu,23,2,-,8,-,-
1890,Ko Suzuki,35,2,-,9,-,-
1891T,Romain Andres,19,2,+1,9,-,-
1891T,Jack Patrick Mcgary,21,2,-,9,-,-
1891T,Essa Qabazard,24,2,-,9,-,-
1894T,Victor Bini,23,2,+1,10,-,-
1894T,Giovanni Ciocca,19,2,-,10,-,-
1894T,Lenny Couturier,17,2,-,10,-,-
1894T,Lorenzo Ferri,22,2,-,10,-,-
1894T,Emanuel Ivanisevic,18,2,-,10,-,-
1894T,Luca Parenti,23,2,-1,10,-,-
1894T,Sheng Tang,26,2,-,10,-,-
1894T,Jan Wygona,19,2,-,10,-,-
1902T,Jim Hendrikx,25,2,-,11,-,-
1902T,Nicola Ion,21,2,-,11,-,-
1902T,Noah Regas Luis,22,2,-,11,-,-
1902T,Tomas Serrano Luis,24,2,-1,11,-,-
1906T,Matic Dimic,24,2,-,12,-,-
1906T,Jose Dominguez Alonso,26,2,-,12,-,-
1906T,Darrshan Suresh,25,2,-2,12,-,-
1909,Jordi Garcia Mestre,23,2,-,13,-,-
1910,Anas Bennour Dit Sahli,19,2,-,14,-,-
1911,Bogdan Seleznev,24,2,-,17,-,-
1912T,Motoharu Abe,17,1,-,1,-,-
1912T,M. Abid Ali Khan Akbar,36,1,-,1,-,-
1912T,Filippo Alfano,18,1,-,1,-,-
1912T,Juan Ignacio Barraza,25,1,-,1,-,-
1912T,Thilo Behrmann,18,1,-,1,-,-
1912T,Manuel Belda,21,1,-,1,-,-
1912T,Alexis Berquier,19,1,-,1,-,-
1912T,Daniel Borisov,22,1,-,1,-,-
1912T,Hanamichi Carvajal,24,1,-,1,-,-
1912T,Yago Castellanos,18,1,+1,1,-,-
1912T,Anton Chekhov,33,1,-,1,-,-
1912T,Kayden Colombo,17,1,-,1,-,-
1912T,Charlelie Cosnet,23,1,-1,1,-,-
1912T,Vitor Costa Gonçalves,22,1,+1,1,-,-
1912T,Sandesh Dattatray Kurale,23,1,-,1,-,-
1912T,Gregoire Delattre,19,1,-,1,-,-
1912T,Malanqi Du,24,1,-,1,-,-
1912T,Gian Durrer,22,1,-,1,-,-
1912T,Hamza El Amine,22,1,-,1,-,-
1912T,Finlay Emslie-Robson,22,1,-,1,-,-
1912T,Drew Fishback,19,1,-,1,-,-
1912T,Kanta Fujisaki,20,1,-,1,-,-
1912T,Ruochen Gao,17,1,+1,1,-,-
1912T,Pietro Gava,17,1,-,1,-,-
1912T,Jou-George Gnjidic,17,1,-,1,-,-
1912T,Daniil Golubev,24,1,-,1,-,-
1912T,Federico Gaston Gonzalez Benitez,26,1,-,1,-,-
1912T,James Hopper,25,1,-,1,-,-
1912T,Ilya Ignatov,20,1,-,1,-,-
1912T,Masaki Ishikawa,22,1,-,1,-,-
1912T,Kabeer Kapasi,21,1,-,1,-,-
1912T,Aslan Karatsev,32,1,-6,1,-,-
1912T,Guelord Kayombo,25,1,-,1,-,-
1912T,Thomas Kostka,23,1,-,1,-,-
1912T,Oscar Lacides,21,1,-,1,-,-
1912T,Woong Chan Lee,17,1,-,1,-,-
1912T,Zekai Li,26,1,-,1,-,-
1912T,Zhe Li,39,1,-,1,-,-
1912T,Dylan Long,19,1,-,1,-,-
1912T,Zoran Ludoski,21,1,-4,1,-,-
1912T,Dominik Macej,17,1,+1,1,-,-
1912T,Obrad Markovski,25,1,-,1,-,-
1912T,Will Mayew,22,1,-,1,-,-
1912T,Dusan Milanovic,24,1,-,1,-,-
1912T,Maximillian Mroz,20,1,-,1,-,-
1912T,Ronan Tashinga Mtisi,18,1,-,1,-,-
1912T,Juan Francisco Munoz,19,1,-,1,-,-
1912T,François Musitelli,27,1,-,1,-,-
1912T,Niklas Niggemann,23,1,-,1,-,-
1912T,Felipe Pagnacco,21,1,-,1,-,-
1912T,Danil Panarin,21,1,-,1,-,-
1912T,Valdemar Frederik Pape,22,1,-1,1,-,-
1912T,Facundo Perlov,22,1,+1,1,-,-
1912T,Claus Piening,22,1,-,1,-,-
1912T,Paris Pouatcha,20,1,-,1,-,-
1912T,Tomas Rengel Sierra,30,1,-,1,-,-
1912T,Milan Ristov,20,1,-,1,-,-
1912T,Samuel Rovai,22,1,-,1,-,-
1912T,Mohamed Safwat,35,1,-,1,-,-
1912T,Manuel Sanchez,35,1,-,1,-,-
1912T,Hidde Schoenmakers,19,1,-,1,-,-
1912T,Mauricio Schtulmann Gasca,17,1,-,1,-,-
1912T,Jack Secord,17,1,-,1,-,-
1912T,Kyle Seelig,28,1,-,1,-,-
1912T,Matthew Shearer,23,1,+1,1,-,-
1912T,Leon Sloboda,17,1,-,1,-,-
1912T,Jannik Sötebier,16,1,-,1,-,-
1912T,Nicholas Steiglehner,22,1,-,1,-,-
1912T,Bjorn Swenson,22,1,-,1,-,-
1912T,Cole Thurgur,19,1,-,1,-,-
1912T,Harry Thursfield,25,1,-,1,-,-
1912T,Alexandr Tiutchenko,16,1,-,1,-,-
1912T,Andrea Tognolini,19,1,-,1,-,-
1912T,Mikhail Tsapenko,18,1,-,1,-,-
1912T,Barkat Ullah,28,1,-,1,-,-
1912T,Andres Urquiola Montellano,22,1,-,1,-,-
1912T,Nand Vandepoele,18,1,+1,1,-,-
1912T,Adria Velazquez Farre,16,1,-,1,-,-
1912T,Sergej Zivkovic,19,1,-,1,-,-
1991T,Daniel Adeleye,20,1,-,2,-,-
1991T,Eric Ahren Moonga,30,1,-,2,-,-
1991T,Alan Aiukhanov,17,1,-,2,-,-
1991T,Bader Alabdullah,24,1,-,2,-,-
1991T,Pedro Albuquerque Dietrich,18,1,+1,2,-,-
1991T,Ramiro Amarilla,24,1,-,2,-,-
1991T,Romeo Arcuschin,19,1,-,2,-,-
1991T,Siwanat Auytayakul,22,1,-1,2,-,-
1991T,Jean Baptiste Badon,23,1,-,2,-,-
1991T,Victor Barrere,25,1,-,2,-,-
1991T,Vladimir Bazilevskiy,21,1,-,2,-,-
1991T,Adrien Berrut,21,1,+1,2,-,-
1991T,Juliusz Bienkiewicz,27,1,-,2,-,-
1991T,Federico Bove,27,1,-,2,-,-
1991T,Giovanni Branchetti,22,1,+1,2,-,-
1991T,Evan Burnett,20,1,-1,2,-,-
1991T,Dmitrii Burtsev,20,1,-,2,-,-
1991T,Luka Ceramilac,17,1,+1,2,-,-
1991T,Jordan Chiu,25,1,-,2,-,-
1991T,Min Hyuk Cho,17,1,-,2,-,-
1991T,Jose Luis Claro,23,1,-,2,-,-
1991T,Martin Doskocil,19,1,-,2,-,-
1991T,Alessandro Dragoni,29,1,-,2,-,-
1991T,Tomas Dummer Macedo,17,1,-,2,-,-
1991T,Dennis Andre Dutine,21,1,-,2,-,-
1991T,Marwan Ehab,18,1,-,2,-,-
1991T,Karim El Feky,24,1,-,2,-,-
1991T,Roberto Ferrer Guimaraes,21,1,-,2,-,-
1991T,Rafael Augusto Garcia Finetto,18,1,-,2,-,-
1991T,Anthony Genov,24,1,-,2,-,-
1991T,Alexander Glomb,22,1,-,2,-,-
1991T,Nicolas Rafael Goldberg Alviani,23,1,-,2,-,-
1991T,Adam Heinonen,24,1,-,2,-,-
1991T,Yuya Hirose,21,1,-,2,-,-
1991T,Juchan Hwang,18,1,-,2,-,-
1991T,David Jeanne-Grandinot,24,1,-,2,-,-
1991T,Yeong-Seok Jeong,26,1,-,2,-,-
1991T,Omar Kandil,17,1,-,2,-,-
1991T,Kolos Kincses,19,1,-,2,-,-
1991T,Ferdinand Kloesters,21,1,+1,2,-,-
1991T,Nicolas Kobelt,22,1,-,2,-,-
1991T,Reiya Komagata,23,1,-,2,-,-
1991T,Anes Latifovic,21,1,-,2,-,-
1991T,Jea Moon Lee,33,1,-,2,-,-
1991T,Liangxuan Liu,16,1,-,2,-,-
1991T,Tim Loosen,25,1,-,2,-,-
1991T,Gergely Madarasz,31,1,-,2,-,-
1991T,Franco Marini,25,1,-,2,-,-
1991T,Maximilian Marterer,31,1,+1,2,-,-
1991T,Andrea Meduri,21,1,-,2,-,-
1991T,Seiya Nakanishi,29,1,-,2,-,-
1991T,Saba George Nanobashvili,21,1,-,2,-,-
1991T,Dian Nedev,25,1,-1,2,-,-
1991T,Pierre Ngijol Carre,22,1,-,2,-,-
1991T,Fnu Nidunjianzan,22,1,-3,2,-,-
1991T,Lun Obrul,22,1,-,2,-,-
1991T,Maximilian Oezcelik,26,1,-,2,-,-
1991T,Yshai Oliel,26,1,-,2,-,-
1991T,Eric Jr. Olivarez,28,1,-,2,-,-
1991T,Fabrizio Karol Pio Osti,20,1,-,2,-,-
1991T,Max Pade,19,1,-,2,-,-
1991T,David Petrovic,21,1,-1,2,-,-
1991T,Photos Photiades,22,1,-,2,-,-
1991T,Sidane Pontjodikromo,25,1,+1,2,-,-
1991T,Felix Raser,17,1,-,2,-,-
1991T,Philippe Renard,23,1,-,2,-,-
1991T,Felipe Rivadeneira,20,1,-,2,-,-
1991T,Jonas Schaer,26,1,-,2,-,-
1991T,Amaan Siddiqui,24,1,-,2,-,-
1991T,Svarmanyu Singh,20,1,-,2,-,-
1991T,Samuel Stolarik,22,1,-,2,-,-
1991T,Leonardo Suarez,17,1,-,2,-,-
1991T,Sulaiman Syed,16,1,-,2,-,-
1991T,Abubakar Talha,16,1,-,2,-,-
1991T,Joan Torres Espinosa,22,1,-,2,-,-
1991T,Aadarsh Tripathi,22,1,-,2,-,-
1991T,Julian Valenzuela,18,1,-,2,-,-
1991T,Luigi Valletta,19,1,-,2,-,-
1991T,Martin Antonio Vergara Del Puerto,22,1,+1,2,-,-
1991T,Lazar Vojinovic,27,1,-,2,-,-
1991T,Nikita Volonski,24,1,-2,2,-,-
1991T,Brandon Walkin,32,1,-,2,-,-
1991T,Christian Wedel,25,1,-,2,-,-
1991T,Aaron James Williams,22,1,-,2,-,-
1991T,Finn Willman,19,1,-,2,-,-
1991T,Kai-An Wu,19,1,-,2,-,-
1991T,Natsuki Yamamoto,21,1,-,2,-,-
1991T,Yerassyl Yerdilda,20,1,-,2,-,-
1991T,Lucas Yunez,18,1,-,2,-,-
2080T,Nicolas Baena,18,1,-,3,-,-
2080T,Nika Bidzinashvili,21,1,-,3,-,-
2080T,Flavio Bocci,21,1,-,3,-,-
2080T,Enrique Bogo,31,1,-,3,-,-
2080T,Matthew Carroll,26,1,-,3,-,-
2080T,Mateo Castañeda,20,1,-2,3,-,-
2080T,Enrique Collar,18,1,-,3,-,-
2080T,Goncalo Da Rosa Castro,17,1,-,3,-,-
2080T,Sean Daryabeigi,21,1,-,3,-,-
2080T,Mariano Dedura-Palomero,20,1,-,3,-,-
2080T,Clement Deleersnyder,24,1,-,3,-,-
2080T,João Pedro Didoni Bonini,19,1,-,3,-,-
2080T,Filip Drab,18,1,-,3,-,-
2080T,Felipe Dreer,20,1,-,3,-,-
2080T,Ivan Dreycopp,23,1,-1,3,-,-
2080T,Birtan Duran,22,1,-,3,-,-
2080T,Tugra Duran,19,1,-,3,-,-
2080T,Felix Einig,26,1,-,3,-,-
2080T,Wen Bo Fan,18,1,-,3,-,-
2080T,Luis Andres Flores Avila,18,1,-,3,-,-
2080T,Oriol Font,20,1,-,3,-,-
2080T,Sai Karteek Reddy Ganta,26,1,-,3,-,-
2080T,Trisztan Gubi,21,1,-,3,-,-
2080T,Thomas Gunzinger,18,1,-,3,-,-
2080T,Javier Guzman,23,1,-,3,-,-
2080T,Zac Hamill,21,1,-,3,-,-
2080T,Tim Hammes,22,1,-,3,-,-
2080T,Julius Maximilian Haus,19,1,-,3,-,-
2080T,Ilan Zheng-Xiong Hediger,19,1,-,3,-,-
2080T,Leonardo Iemmi,21,1,-,3,-,-
2080T,Ryder Jackson,21,1,-,3,-,-
2080T,Jarno Jans,26,1,-1,3,-,-
2080T,Reid Jarvis,25,1,-,3,-,-
2080T,Aqeel Khan,46,1,-,3,-,-
2080T,Marko Knezevic,19,1,-,3,-,-
2080T,Jeri Lassila,21,1,+1,3,-,-
2080T,Isaac Lhomond,19,1,-,3,-,-
2080T,Aron Janos Major,19,1,-,3,-,-
2080T,Sasa Markovic,20,1,-,3,-,-
2080T,Norbert Marosik,22,1,-,3,-,-
2080T,Vicente Menezes Freda,19,1,-,3,-,-
2080T,Stefan Menichella,31,1,-,3,-,-
2080T,Marco Migliorati,22,1,-,3,-,-
2080T,Amir Milushev,21,1,-,3,-,-
2080T,Daniele Minighini,22,1,-,3,-,-
2080T,Vicente Monge,20,1,-,3,-,-
2080T,Nicaise Muamba,25,1,-,3,-,-
2080T,Freddy Murray,23,1,-1,3,-,-
2080T,Botond Nagy,18,1,-,3,-,-
2080T,Aleksa Oparnica,18,1,-,3,-,-
2080T,Kentaro Otsuka,29,1,-,3,-,-
2080T,Viacheslav Ovchinnikov,23,1,-,3,-,-
2080T,David Prasievi,20,1,-,3,-,-
2080T,Ntungamili Raguin,17,1,-,3,-,-
2080T,Danial Rakhmatullayev,19,1,-,3,-,-
2080T,Henry Ren,22,1,-,3,-,-
2080T,Gabriel Sardo,22,1,-,3,-,-
2080T,Jelani Sarr,22,1,-,3,-,-
2080T,Rajat Shirur,18,1,-,3,-,-
2080T,Filip Stidell,21,1,-,3,-,-
2080T,Jin Peng Tang,19,1,-,3,-,-
2080T,Uladzislau Tarasevich,21,1,-,3,-,-
2080T,Ander Tarrio Ponte,20,1,+1,3,-,-
2080T,Christopher Thies,18,1,-,3,-,-
2080T,Tomas Tischner,20,1,-,3,-,-
2080T,Joe Tyler,27,1,-,3,-,-
2080T,Lachlan Vickery,22,1,-,3,-,-
2080T,Ids Waterbolk,25,1,-,3,-,-
2080T,Rafael Ymer,20,1,-,3,-,-
2080T,Ahmed Zaki,21,1,-,3,-,-
2080T,Linghao Zhang,23,1,-,3,-,-
2080T,William Zhang,18,1,-,3,-,-
2080T,Shixun Zhu,19,1,-,3,-,-
2153T,Marcin Andrzejczak,20,1,-,4,-,-
2153T,Felipe Assuncao Garla,32,1,-,4,-,-
2153T,Luka Bojicic Ono,21,1,-,4,-,-
2153T,Ole Bredschneijder,24,1,-,4,-,-
2153T,Alberto Bronzetti,28,1,-1,4,-,-
2153T,Filippo Callerio,21,1,-,4,-,-
2153T,Pedro Henrique Chabalgoity,18,1,-,4,-,-
2153T,Miles Clark,26,1,-,4,-,-
2153T,Sasha Colleu,19,1,-,4,-,-
2153T,Milledge Cossu,24,1,-,4,-,-
2153T,Edoardo De Filippo,21,1,-,4,-,-
2153T,Nikola Djukic Valera,24,1,-,4,-,-
2153T,Alex Finkelstein,23,1,-,4,-,-
2153T,Hong-Lin Fu,24,1,-,4,-,-
2153T,Juan Carlos Fuentes Vasquez,20,1,-,4,-,-
2153T,Thomas Nicholas Gadecki,20,1,-,4,-,-
2153T,Alexander Guajardo,20,1,-,4,-,-
2153T,Stijn Hofman,23,1,-,4,-,-
2153T,Jia Hu,17,1,-,4,-,-
2153T,Jan Jermar,26,1,-,4,-,-
2153T,Kaigaoge Kang,17,1,-1,4,-,-
2153T,Matthias Uwe Kask,20,1,-,4,-,-
2153T,Mikhail Khodorchenko,19,1,-,4,-,-
2153T,Lucky Candra Kurniawan,22,1,-,4,-,-
2153T,Espen Lagarde,24,1,-,4,-,-
2153T,Niels Lootsma,32,1,-,4,-,-
2153T,Martin Maldonado,25,1,-,4,-,-
2153T,Cooper Mccarthy,16,1,-,4,-,-
2153T,Enmanuel Munoz,21,1,-,4,-,-
2153T,Kaue Noatto,22,1,-,4,-,-
2153T,Yong Joon Park,24,1,-,4,-,-
2153T,Leon Peranovic,19,1,-,4,-,-
2153T,Oscar Pinto Sansano,23,1,-,4,-,-
2153T,Mattias Pisanu,19,1,-,4,-,-
2153T,Tadija Radovanovic,26,1,-,4,-,-
2153T,Vihaan Reddy,16,1,-,4,-,-
2153T,Freddie Ridout,22,1,-,4,-,-
2153T,Roshan Santhosh,17,1,-,4,-,-
2153T,Luke Simkiss,28,1,-1,4,-,-
2153T,Andre Souza,23,1,-,4,-,-
2153T,Daniil Stepanov,20,1,-,4,-,-
2153T,Leonardo Storck Franca,17,1,-,4,-,-
2153T,Sarthak Suden,24,1,-,4,-,-
2153T,Zaharije-Zak Talic,27,1,-,4,-,-
2153T,Pablo Trochu,22,1,-,4,-,-
2153T,Vaal Urankar,21,1,-,4,-,-
2153T,Felipe Vazquez,18,1,-,4,-,-
2200T,Calin Apostol,19,1,-,5,-,-
2200T,Patricio Betancourt Gonzalez,32,1,-,5,-,-
2200T,Joaquin Bianchi,26,1,-,5,-,-
2200T,Henrik Bladelius,22,1,-,5,-,-
2200T,Daniil Bogatov,20,1,-,5,-,-
2200T,Hugo Cardinaud,22,1,-1,5,-,-
2200T,Penn Charusorn,18,1,-,5,-,-
2200T,Vito Antonio Darderi,18,1,-,5,-,-
2200T,Livas Eduardo De Carvalho Damazio,16,1,-,5,-,-
2200T,Mustapha El Natour,21,1,-,5,-,-
2200T,Barney Fitzpatrick,24,1,-,5,-,-
2200T,Jose Freitas,19,1,-,5,-,-
2200T,Stephane Pierre-Jo Kamendje,20,1,-2,5,-,-
2200T,Krittin Koaykul,31,1,-,5,-,-
2200T,Matyas Kozlovsky,18,1,-,5,-,-
2200T,Arthur Laborde,22,1,-,5,-,-
2200T,Augusto Mateo Lucarelli,19,1,-,5,-,-
2200T,Andre Megrabian,21,1,-,5,-,-
2200T,Matteo Mesaglio,21,1,-,5,-,-
2200T,Matteo Mura,20,1,-,5,-,-
2200T,Oluwaseun Peter Ogunsakin,17,1,-,5,-,-
2200T,Fedor Sosedkin,19,1,-,5,-,-
2200T,Cedric Stanke,27,1,-,5,-,-
2200T,Zhengyu Sun,19,1,-,5,-,-
2200T,Jaden Dewandaka Tan,19,1,-,5,-,-
2200T,Daniel Tazabekov,18,1,-1,5,-,-
2200T,Breno Rossetto Urvaneja,21,1,-,5,-,-
2200T,Tim Vaisman,19,1,-,5,-,-
2200T,Franco Ariel Vazquez,26,1,-,5,-,-
2200T,Siddharth Vishwakarma,31,1,-,5,-,-
2230T,Laurin Aerne,27,1,-,6,-,-
2230T,Filippo Alberti,23,1,-,6,-,-
2230T,Cezar Stefan Bentzel,18,1,-,6,-,-
2230T,Jonah Braswell,22,1,-,6,-,-
2230T,Simon Caldwell,19,1,-,6,-,-
2230T,Alexis Canter,28,1,-,6,-,-
2230T,Leonel Cesar Castro,19,1,-,6,-,-
2230T,Samuil Chestovaliev,18,1,-,6,-,-
2230T,Thomas Drayton,22,1,-,6,-,-
2230T,Alexey Dubinin,27,1,-,6,-,-
2230T,Mario Andre Galarraga,18,1,-,6,-,-
2230T,Matteo Gribaldo,17,1,-,6,-,-
2230T,Alexandru Toubi Hebhang Balan,18,1,-,6,-,-
2230T,Liam Hignett,26,1,-,6,-,-
2230T,Petr Iamachkine,30,1,-,6,-,-
2230T,Oskar Jansson,21,1,-,6,-,-
2230T,Ruslan Kastsiukevich,19,1,-,6,-,-
2230T,Kazuma Kawachi,31,1,-,6,-,-
2230T,Dmitry Kopilevich,19,1,-1,6,-,-
2230T,Tilen Kovac,24,1,-,6,-,-
2230T,Makar Krivoshchekov,20,1,-,6,-,-
2230T,Agustin Libre,19,1,-,6,-,-
2230T,Kaspar Mathes,18,1,-,6,-,-
2230T,thomas Menzel,19,1,-,6,-,-
2230T,Loic Namigandet Tenguere,27,1,-,6,-,-
2230T,Vladimir Osminkin,24,1,-,6,-,-
2230T,Pietro Pampanin,23,1,-,6,-,-
2230T,Matthew Rankin,22,1,-,6,-,-
2230T,Peter Sallay,25,1,-,6,-,-
2230T,Tiago Silva,21,1,-,6,-,-
2260T,Zachary Adam-Gedge,24,1,-,7,-,-
2260T,Daniel Batista,27,1,-,7,-,-
2260T,Patrick Jozwicki,21,1,-,7,-,-
2260T,Cian Maguire,27,1,-,7,-,-
2260T,Salvador Monteiro,18,1,-,7,-,-
2260T,Simphiwe Ngwenya,19,1,-,7,-,-
2260T,Alex Santino Nuñez Vera,19,1,-,7,-,-
2260T,Glauco Pinheiro Da Cruz Junior,21,1,-,7,-,-
2260T,Tsz Fu Wong,20,1,-,7,-,-
2269T,Francisco Faria,28,1,-,8,-,-
2269T,Andrei Corneliu Gadoiu,17,1,+1,8,-,-
2269T,Alvaro Jimenez,19,1,-,8,-,-
2269T,Ricardo Rodriguez - Pace,33,1,-,8,-,-
2269T,Carles Rojas,22,1,+1,8,-,-
2269T,Dylan Salton,23,1,-,8,-,-
2269T,Vladan Tadic,25,1,-1,8,-,-
2269T,Yue Xia,19,1,-,8,-,-
2277T,Ignasi Forcano Aparicio,26,1,-,9,-,-
2277T,Jun Hao Luo,18,1,-1,9,-,-
2277T,Gokberk Saritas,23,1,-,9,-,-
2280T,William Nolan,23,1,-1,10,-,-
2280T,Yassin Ahmed Wageh,18,1,-,10,-,-
2282,Anthony Susanto,29,1,-1,11,-,-
2283,Oren Vasser,26,1,-2,12,-,-
