TOURNEY_ID,TOURNEY_NAME,TOURNEY_LEVEL,TOURNEY_DRAW_SIZE,TOURNEY_SURFACE,TOURNEY_IS_INDOOR,TOURNEY_START_DATE,REF_YEAR
1972-413,Las Vegas WCT,Outro,32,Hard,-,1972-01-01,1972
1972-657,Hampton,Outro,32,Hard,-,1972-01-05,1972
1973-706,Bretton Woods,Outro,32,Clay,-,1973-01-23,1973
1973-D008,Davis Cup,Davis Cup,4,Carpet,Sim,1973-01-30,1973
1975-352,Paris Indoor,Outro,32,Hard,Sim,1975-01-27,1975
1976-277,Berlin,Outro,32,Hard,-,1976-01-14,1976
1977-316,Bastad,Outro,32,Clay,-,1977-01-03,1977
1983-429,Stockholm,Outro,64,Hard,-,1983-01-31,1983
1986-329,Tokyo Outdoor,Outro,64,Hard,-,1986-01-13,1986
1987-410,Monte Carlo,Outro,48,Clay,-,1987-01-20,1987
1991-424,San Francisco,Outro,32,Carpet,Sim,1991-01-04,1991
1992-436,Charlotte,Outro,32,Clay,-,1992-01-04,1992
1993-429,Stockholm Masters,Masters 1000,48,Carpet,Sim,1993-01-25,1993
1994-498,Osaka,Outro,32,Hard,-,1994-01-28,1994
2001-D032,Davis Cup,Davis Cup,4,Clay,-,2001-01-09,2001
2001-495,Dubai,Outro,32,Hard,-,2001-01-26,2001
2003-D054,Davis Cup,Davis Cup,4,Hard,-,2003-01-11,2003
2004-96,Athens Olympics,Olympics Games,64,Hard,-,2004-01-16,2004
2004-441,Long Island,Outro,32,Hard,-,2004-01-23,2004
2007-D003,Davis Cup,Davis Cup,4,Hard,-,2007-01-09,2007
2008-D058,Davis Cup,Davis Cup,4,Hard,-,2008-01-18,2008
2009-506,Buenos Aires,Outro,32,Clay,-,2009-01-16,2009
2012-D033,Davis Cup,Davis Cup,4,Hard,-,2012-01-10,2012
2014-6932,Rio de Janeiro,Outro,32,Clay,-,2014-01-17,2014
2017-7480,Los Cabos,Outro,32,Hard,-,2017-01-31,2017
2023-2843,Adelaide 1,Outro,32,Hard,-,2023-01-02,2023
2026-404,Indian Wells Masters,Masters 1000,96,Hard,Não,2026-01-13,2026
2026-540,Wimbledon,Grand Slam,128,Grass,Não,2026-01-29,2026
1968-D043,Davis Cup,Davis Cup,4,Hard,-,1968-01-24,1968
1969-7302,Paris,Outro,32,Carpet,Sim,1969-01-07,1969
1970-436,Charlotte,Outro,32,Clay,-,1970-01-15,1970
1972-710,Washington,Outro,32,Carpet,Sim,1972-01-06,1972
1972-389,Denver WCT,Outro,32,Carpet,Sim,1972-01-30,1972
1973-D019,Davis Cup,Davis Cup,4,Hard,-,1973-01-03,1973
1975-347,Bournemouth,Outro,64,Clay,-,1975-01-12,1975
1979-711,Tulsa,Outro,32,Hard,-,1979-01-09,1979
1979-D001,Davis Cup,Davis Cup,4,Clay,-,1979-01-14,1979
1980-343,Colombus,Outro,32,Hard,-,1980-01-04,1980
1980-712,Birmingham,Outro,32,Carpet,Sim,1980-01-14,1980
1980-410,Monte Carlo,Outro,32,Clay,-,1980-01-31,1980
1981-540,Wimbledon,Grand Slam,128,Grass,-,1981-01-22,1981
1981-351,Linz,Outro,32,Hard,-,1981-01-30,1981
1982-580,Australian Open,Grand Slam,96,Grass,-,1982-01-02,1982
1985-316,Bastad,Outro,32,Clay,-,1985-01-15,1985
1987-D067,Davis Cup,Davis Cup,4,Clay,-,1987-01-02,1987
1988-D008,Davis Cup,Davis Cup,4,Hard,-,1988-01-08,1988
1988-D070,Davis Cup,Davis Cup,4,Clay,-,1988-01-10,1988
1988-367,Athens,Outro,32,Clay,-,1988-01-13,1988
1990-D077,Davis Cup,Davis Cup,4,Grass,-,1990-01-02,1990
1992-D034,Davis Cup,Davis Cup,4,Hard,-,1992-01-27,1992
1994-422,Cincinnati Masters,Masters 1000,56,Hard,-,1994-01-08,1994
1995-D070,Davis Cup,Davis Cup,4,Hard,-,1995-01-03,1995
1995-D041,Davis Cup,Davis Cup,4,Clay,-,1995-01-22,1995
1995-379,Prague,Outro,32,Clay,-,1995-01-31,1995
1996-D030,Davis Cup,Davis Cup,4,Clay,-,1996-01-09,1996
1997-D005,Davis Cup,Davis Cup,4,Grass,-,1997-01-07,1997
1997-520,Roland Garros,Grand Slam,128,Clay,-,1997-01-26,1997
1999-D009,Davis Cup,Davis Cup,4,Clay,-,1999-01-02,1999
2000-439,Umag,Outro,32,Clay,-,2000-01-17,2000
2000-499,Delray Beach,Outro,32,Hard,-,2000-01-28,2000
2001-451,Doha,Outro,32,Hard,-,2001-01-01,2001
2001-D005,Davis Cup,Davis Cup,4,Clay,-,2001-01-09,2001
2001-717,Houston,Outro,32,Clay,-,2001-01-30,2001
2002-433,Scottsdale,Outro,32,Hard,-,2002-01-04,2002
2004-D078,Davis Cup,Davis Cup,4,Carpet,Sim,2004-01-24,2004
2005-D055,Davis Cup,Davis Cup,4,Carpet,Sim,2005-01-04,2005
2005-D046,Davis Cup,Davis Cup,4,Hard,-,2005-01-15,2005
2007-D038,Davis Cup,Davis Cup,4,Hard,-,2007-01-21,2007
2010-339,Brisbane,Outro,32,Hard,-,2010-01-03,2010
2010-D007,Davis Cup,Davis Cup,4,Hard,-,2010-01-05,2010
2012-D018,Davis Cup,Davis Cup,4,Hard,-,2012-01-06,2012
2012-404,Indian Wells Masters,Masters 1000,96,Hard,-,2012-01-08,2012
2013-D009,Davis Cup,Davis Cup,4,Hard,-,2013-01-05,2013
2013-D055,Davis Cup,Davis Cup,4,Hard,-,2013-01-05,2013
2013-352,Paris Masters,Masters 1000,48,Hard,-,2013-01-28,2013
2015-321,Stuttgart,Outro,28,Grass,-,2015-01-08,2015
2018-M-DC-2018-G1-AM-M-COL-BAR-01,Davis Cup,Davis Cup,4,Hard,-,2018-01-02,2018
2018-M-DC-2018-G2-AM-M-PUR-MEX-01,Davis Cup,Davis Cup,4,Hard,-,2018-01-03,2018
2019-M-DC-2019-FLS-M-AUS-CAN-01,Davis Cup,ATP Finals,4,Hard,-,2019-01-21,2019
2022-M-DC-2022-WG2-M-BOL-THA-01,Davis Cup,Davis Cup,4,Hard,-,2022-01-16,2022
2024-M-DC-2024-QLS-M-CHI-PER-01,Davis Cup,Davis Cup,4,Hard,-,2024-01-03,2024
2024-0605,Tour Finals,ATP Finals,8,Hard,-,2024-01-11,2024
2024-0499,Delray Beach,Outro,32,Hard,-,2024-01-12,2024
2024-M-DC-2024-WG2-M-LBN-RSA-01,Davis Cup,Davis Cup,4,Clay,-,2024-01-14,2024
2025-421,Canada Masters,Masters 1000,96,Hard,Não,2025-01-27,2025
2026-8994,Mallorca,ATP 250,28,Grass,Não,2026-01-22,2026
2026-520,Roland Garros,Grand Slam,128,Clay,Não,2026-01-26,2026
1970-D027,Davis Cup,Davis Cup,4,Clay,-,1970-01-08,1970
1971-308,Munich,Outro,32,Clay,-,1971-01-05,1971
1972-583,Manchester,Outro,128,Grass,-,1972-01-05,1972
1974-362,Manila,Outro,32,Hard,-,1974-01-16,1974
1974-418,Washington,Outro,64,Clay,-,1974-01-23,1974
1975-663,Louisville,Outro,64,Clay,-,1975-01-05,1975
1977-D003,Davis Cup,Davis Cup,4,Clay,-,1977-01-18,1977
1977-729,Palm Springs,Outro,64,Hard,-,1977-01-21,1977
1978-205,Lagos,Outro,32,Clay,-,1978-01-05,1978
1978-663,Louisville,Outro,64,Clay,-,1978-01-30,1978
1981-D012,Davis Cup,Davis Cup,4,Clay,-,1981-01-12,1981
1982-D052,Davis Cup,Davis Cup,4,Clay,-,1982-01-08,1982
1983-405,Houston-WCT,Outro,32,Clay,-,1983-01-04,1983
1983-401,Philadelphia,Outro,64,Carpet,Sim,1983-01-31,1983
1987-D047,Davis Cup,Davis Cup,4,Grass,-,1987-01-24,1987
1991-D017,Davis Cup,Davis Cup,4,Carpet,Sim,1991-01-29,1991
1994-439,Umag,Outro,32,Clay,-,1994-01-22,1994
1995-441,Long Island,Outro,32,Hard,-,1995-01-21,1995
1995-433,Scottsdale,Outro,32,Hard,-,1995-01-27,1995
1997-375,Lyon,Outro,32,Carpet,Sim,1997-01-13,1997
